name,type,start_time,duration,data,error
Prototype,data,0.5795049,0.0009895,1,
Prototype,data,0.5805462,0.0009895,3,
Prototype,data,0.5815875,0.0009895,2,
Prototype,data,0.5826289,0.0009895,"
",
Prototype,data,0.5836702,0.0009895,1,
Prototype,data,0.5847115,0.0009895,2,
Prototype,data,0.5857528,0.0009895,8,
Capnostat,data,0.586411,0.0009895,4,
Prototype,data,0.5867941,0.0009895,",",
Capnostat,data,0.5875567,0.0009895,0,
Prototype,data,0.5878354,0.0009895,1,
Prototype,data,0.5888767,0.0009895,3,
Prototype,data,0.5899181,0.0009895,1,
